Function stats for (Thread) (12): 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..ing.py:2093 _AtIndexer.__getitem__  10535  0.028133  0.180026  0.000017
..1540 DataFrame._is_label_reference  14526  0.050939  0.179490  0.000012
..SingleBlockManager.internal_values  94457  0.113485  0.178167  0.000002
..318 BlockManager._verify_integrity  7317   0.038797  0.177871  0.000024
..es/base.py:4230 Index.__contains__  62013  0.117866  0.173784  0.000003
..Operation._maybe_coerce_merge_keys  4842   0.030364  0.171599  0.000035
...py:563 RangeIndex._reset_identity  123..  0.131743  0.170817  0.000001
..n.py:1071 is_numeric_v_string_like  8216   0.025884  0.169176  0.000021
.. FeatureGenerator._build_wordlists  2      0.000088  0.162047  0.081023
..y:1545 SingleBlockManager.__init__  76142  0.115180  0.160887  0.000002
..numpy_.py:156 PandasArray.__init__  28134  0.065282  0.159552  0.000006
..EmoAff_wlist._get_minmaxmost_words  247    0.002746  0.158010  0.000640
...py:567 SingleBlockManager.setitem  1209   0.002621  0.156586  0.000130
..57 EmoLex_wlist.wordlevel_analysis  2      0.000272  0.154799  0.077399
..ib/python3.8/fractions.py:409 _add  24927  0.062086  0.154652  0.000006
..s/core/base.py:796 Series.__iter__  22574  0.068754  0.153571  0.000007
..es/numpy/core/_methods.py:37 _amax  8797   0.011559  0.150897  0.000017
../managers.py:210 BlockManager.ndim  143..  0.105293  0.147891  0.000001
../python3.8/fractions.py:84 __new__  54384  0.099457  0.146217  0.000003
../common.py:129 cast_scalar_indexer  128..  0.103573  0.144619  0.000001
..frame.py:3111 DataFrame._get_value  10535  0.030106  0.143888  0.000014
../indexes/base.py:2360 Index.unique  8134   0.016800  0.142129  0.000017
..ternals/managers.py:132 <listcomp>  36892  0.061206  0.139733  0.000004
..generic.py:5446 Series.__getattr__  135..  0.138932  0.138932  0.000001
../core/dtypes/common.py:185 classes  361..  0.136357  0.136357  0.000000
..eric.py:3408 Series._set_as_cached  55967  0.061950  0.130597  0.000002
..xes/base.py:1875 Index.is_floating  60713  0.038869  0.130558  0.000002
../blocks.py:916 ObjectBlock.setitem  1209   0.015071  0.130118  0.000108
..3.8/statistics.py:219 _exact_ratio  87023  0.090074  0.129525  0.000001
..as/core/indexing.py:2107 <genexpr>  93888  0.067254  0.127428  0.000001
..re/common.py:317 apply_if_callable  122..  0.088580  0.126646  0.000001
..nals/construction.py:502 to_arrays  836    0.003139  0.123166  0.000147
..ypes/concat.py:24 _get_dtype_kinds  4842   0.042815  0.123132  0.000025
..1509 DataFrame._is_level_reference  19368  0.056013  0.122362  0.000006
..ol/string_cleaner.py:29 <listcomp>  871    0.119549  0.119549  0.000137
..blocks.py:265 ObjectBlock.mgr_locs  308..  0.117944  0.117944  0.000000
..enize/__init__.py:96 sent_tokenize  871    0.003743  0.117813  0.000135
..onstruction.py:555 _list_to_arrays  836    0.007512  0.117671  0.000141
..es/common.py:1234 is_numeric_dtype  15884  0.027094  0.116876  0.000007
..y:681 BlockManager.is_consolidated  48694  0.031474  0.111886  0.000002
..ore/series.py:410 Series._set_axis  64380  0.086776  0.111594  0.000002
..y:1273 maybe_infer_to_datetimelike  4832   0.020048  0.111577  0.000023
..5 ObjectBlock._maybe_coerce_values  81171  0.082136  0.111409  0.000001
..ast.py:1379 maybe_cast_to_datetime  4011   0.018812  0.111167  0.000028
..56 EmoVAD_wlist.wordlevel_analysis  2      0.000085  0.110058  0.055029
..y:3025 Index._convert_can_do_setop  8274   0.014624  0.108745  0.000013
..array_function__ internals>:2 prod  4842   0.010999  0.108459  0.000022
..as/core/flags.py:47 Flags.__init__  111..  0.107673  0.107673  0.000001
..array_ops.py:118 _na_arithmetic_op  3172   0.015264  0.107472  0.000034
..y/core/_ufunc_config.py:132 geterr  58832  0.087533  0.104758  0.000002
..56 BSMVAD_wlist.wordlevel_analysis  2      0.000070  0.104444  0.052222
..pandas/core/nanops.py:64 <genexpr>  55786  0.045696  0.103711  0.000002
..s/managers.py:1844 _multi_blockify  840    0.005782  0.103654  0.000123
..1 _LocIndexer._get_setitem_indexer  1209   0.010528  0.101524  0.000084
..as/core/generic.py:1735 <listcomp>  4842   0.006815  0.101507  0.000021
../core/series.py:612 Series.__len__  19919  0.014838  0.101349  0.000005
..ric.py:1835 DataFrame.__contains__  9803   0.015965  0.101146  0.000010
..y:2142 _AtIndexer._axes_are_unique  41831  0.051927  0.100251  0.000002
..numpy/core/_dtype.py:24 _kind_name  224..  0.099273  0.099273  0.000000
..indexes/base.py:4070 Index._values  296..  0.098627  0.098693  0.000000
..ction.py:713 _convert_object_array  836    0.001254  0.097347  0.000116
...py:1130 is_datetimelike_v_numeric  1730   0.004061  0.097054  0.000056
..core/generic.py:568 DataFrame.ndim  49031  0.043152  0.096413  0.000002
..das/core/generic.py:1567 <genexpr>  29052  0.036536  0.096172  0.000003
..als/construction.py:736 <listcomp>  836    0.001423  0.096093  0.000115
..446 DataFrame._maybe_update_cacher  10408  0.025186  0.095776  0.000009
..Frame._is_label_or_level_reference  4842   0.011737  0.094692  0.000020
..hon3.8/statistics.py:177 <genexpr>  29455  0.026779  0.094684  0.000003
..ernals/construction.py:730 convert  1672   0.004331  0.094670  0.000057
..y:190 classes_and_not_datetimelike  265..  0.094511  0.094511  0.000000
..ops/common.py:92 _maybe_match_name  16548  0.040507  0.093782  0.000006
..ommon.py:1276 is_string_like_dtype  17510  0.015977  0.093075  0.000005
..y:83 Flags.allows_duplicate_labels  114..  0.091570  0.091570  0.000001
..dtypes/cast.py:1257 maybe_castable  10540  0.040415  0.091058  0.000009
...py:1588 SingleBlockManager._block  245..  0.090732  0.090732  0.000000
...py:49 MultiDataset_wlist.__init__  2      0.000294  0.090431  0.045215
..4 create_block_manager_from_blocks  863    0.004521  0.089892  0.000104
..tation/expressions.py:218 evaluate  3172   0.007642  0.088172  0.000028
..umpy/core/fromnumeric.py:2881 prod  4842   0.011132  0.087756  0.000018
..locks.py:276 FloatBlock.make_block  1270   0.002646  0.085182  0.000067
..ges/numpy/core/numeric.py:144 ones  9072   0.019788  0.085013  0.000009
..re/generic.py:455 _get_axis_number  194..  0.084535  0.084535  0.000000
../managers.py:1829 _simple_blockify  899    0.002348  0.084278  0.000094
..ist.py:114 MPQA_wlist._getfreqmean  177    0.000877  0.082495  0.000466
..re/generic.py:469 Series._get_axis  51467  0.062480  0.082256  0.000002
..re/frame.py:1158 DataFrame.__len__  28191  0.027703  0.081504  0.000003
..89 BlockManager._consolidate_check  13545  0.038431  0.080412  0.000006
